Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,Measure,Type,State Name,Region,Start Date,End Date,Response Rate (%)
07_2015,CO,H_COMP_7,5,40,55,Care Transition,Composite Measure,Colorado,Mountain,2013-10-01,2014-09-30,31.596774193548388
07_2015,CO,H_HSP_RATING,6,20,74,Overall Hospital Rating,Global Item,Colorado,Mountain,2013-10-01,2014-09-30,31.596774193548388
07_2015,CO,H_QUIET_HSP,8,29,63,Quietness of Hospital Environment,Individual Item,Colorado,Mountain,2013-10-01,2014-09-30,31.596774193548388
07_2015,CO,H_RECMND,4,22,74,Willingness to Recommend the Hospital,Global Item,Colorado,Mountain,2013-10-01,2014-09-30,31.596774193548388
07_2015,CT,H_CLEAN_HSP,8,20,72,Cleanliness of Hospital Environment,Individual Item,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_1,4,17,79,Communication with Nurses,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_2,5,15,80,Communication with Doctors,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_3,10,25,65,Responsiveness of Hospital Staff,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_5,19,18,63,Communication about Medicines,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_6,14,0,86,Discharge Information,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_COMP_7,5,45,50,Care Transition,Composite Measure,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_HSP_RATING,8,24,68,Overall Hospital Rating,Global Item,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_QUIET_HSP,15,33,52,Quietness of Hospital Environment,Individual Item,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,CT,H_RECMND,5,24,71,Willingness to Recommend the Hospital,Global Item,Connecticut,New England,2013-10-01,2014-09-30,28.96551724137931
07_2015,DC,H_CLEAN_HSP,16,21,63,Cleanliness of Hospital Environment,Individual Item,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_1,10,20,70,Communication with Nurses,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_2,7,16,77,Communication with Doctors,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_3,19,27,54,Responsiveness of Hospital Staff,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_5,25,18,57,Communication about Medicines,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_6,21,0,79,Discharge Information,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_COMP_7,9,49,42,Care Transition,Composite Measure,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_HSP_RATING,14,28,58,Overall Hospital Rating,Global Item,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_QUIET_HSP,16,30,54,Quietness of Hospital Environment,Individual Item,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DC,H_RECMND,10,29,61,Willingness to Recommend the Hospital,Global Item,District of Columbia,South Atlantic,2013-10-01,2014-09-30,24.571428571428573
07_2015,DE,H_CLEAN_HSP,10,20,70,Cleanliness of Hospital Environment,Individual Item,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_1,4,17,79,Communication with Nurses,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_2,5,17,78,Communication with Doctors,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_3,9,24,67,Responsiveness of Hospital Staff,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_5,20,17,63,Communication about Medicines,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_6,14,0,86,Discharge Information,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_COMP_7,5,45,50,Care Transition,Composite Measure,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_HSP_RATING,9,25,66,Overall Hospital Rating,Global Item,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_QUIET_HSP,14,32,54,Quietness of Hospital Environment,Individual Item,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,DE,H_RECMND,5,28,67,Willingness to Recommend the Hospital,Global Item,Delaware,South Atlantic,2013-10-01,2014-09-30,26.333333333333332
07_2015,FL,H_CLEAN_HSP,11,19,70,Cleanliness of Hospital Environment,Individual Item,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_1,6,18,76,Communication with Nurses,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_2,6,16,78,Communication with Doctors,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_3,12,26,62,Responsiveness of Hospital Staff,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_5,22,17,61,Communication about Medicines,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_6,16,0,84,Discharge Information,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_COMP_7,7,44,49,Care Transition,Composite Measure,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_HSP_RATING,10,23,67,Overall Hospital Rating,Global Item,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_QUIET_HSP,12,29,59,Quietness of Hospital Environment,Individual Item,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
07_2015,FL,H_RECMND,7,24,69,Willingness to Recommend the Hospital,Global Item,Florida,South Atlantic,2013-10-01,2014-09-30,28.190751445086704
